index,distribution
-Plz3v68kjY-6,"[0.05182745046820591, 0.001744409420985916, 0.03576985272313362, 0.18747437468876724, 0.11932720434440856, 0.11380446951174861, 0.033119026875536965, 0.050380668201050104, 0.0915532760721867, 0.3149992676939764]"
-Plz3v68kjY-7,"[0.09705259743737815, 0.02876626083541758, 0.08852486529320935, 0.03891037805870646, 0.05941372647908107, 0.10879630605453099, 0.11164877868417916, 0.10607527044808161, 0.1486927854514252, 0.21211903125799034]"
-Plz3v68kjY-8,"[0.15692619020298632, 0.00570176573306903, 0.13014502589739294, 0.053155257422180024, 0.06541574836031154, 0.0005408107336556593, 0.17024547326226377, 0.06694216206464293, 0.11605334880821597, 0.2348742175152817]"
-Plz3v68kjY-9,"[0.01908548198554493, 0.05282813714869553, 0.02802010554508169, 0.03024133179812963, 0.1907960040688208, 0.0631741362747785, 0.16227252288859204, 0.14823050705410384, 0.052912731905788275, 0.2524390413304649]"
-Plz3v68kjY-10,"[0.0006869400407444033, 0.00022525191029667963, 0.11259256974038763, 0.1017964193857014, 0.014093245959163026, 0.1967778912396255, 0.19596300583344695, 0.37762929365677206, 2.569937945829899e-05, 0.00020968285440389991]"
-Plz3v68kjY-11,"[0.1267610195759827, 0.09207816795602897, 0.06905854164628909, 3.288906454579684e-05, 0.0014056236737538129, 0.2030985900621805, 0.2235281705603289, 0.09811806360652771, 0.06680671573246236, 0.11911221812190036]"
-Plz3v68kjY-12,"[0.10332883239385508, 6.087786608345886e-05, 0.06575608897229192, 0.12953078297261134, 0.12391431235408117, 0.16333521148267574, 0.1271598042797505, 0.06270892844726654, 0.08472830920866656, 0.13947685202271773]"
-Plz3v68kjY-13,"[0.0010207598824355138, 0.3638907356068057, 0.5393770376195203, 0.00024598240048765574, 0.00013114112270074354, 0.0002291593570004274, 0.09441243344591524, 0.00034700215798375575, 0.00019436570412777936, 0.00015138270302276387]"
-Plz3v68kjY-14,"[0.00016271162106195044, 0.02620527731259247, 0.08692188872780672, 0.07969918100643082, 0.037037367847496415, 0.031057676893078354, 0.12145629785662092, 0.6143095238853586, 3.7652477285871576e-05, 0.0031124223722680307]"
-Plz3v68kjY-15,"[0.02000740973675712, 0.2493891270447652, 0.08325845671480493, 0.0009433038124459949, 0.18040954165617173, 0.14371712849070178, 0.03764910748679922, 0.050789267097278386, 0.0006032501782591599, 0.23323340778201626]"
-Plz3v68kjY-16,"[0.055810928546433346, 0.00015539054416047673, 0.08980438709104856, 0.06772010069223151, 0.08764542363974082, 0.0886732966669816, 0.18268156227066323, 0.223444567855354, 0.0002557598036743605, 0.20380858288971204]"
